time,voltage
0.0,223.62
0.03,232.06
0.07,231.22
0.1,225.35
0.13,228.32
0.17,225.77
0.2,221.22
0.23,227.5
0.27,229.32
0.3,219.87
0.33,232.39
0.37,218.11
0.4,228.91
0.43,229.12
0.47,231.36
0.5,232.19
0.53,223.24
0.57,226.55
0.6,225.12
0.63,222.21
0.67,225.39
0.7,236.82
0.73,228.41
0.77,219.78
0.8,227.72
0.83,219.3
0.87,227.29
0.9,227.29
0.93,219.45
0.97,220.88
1.0,223.17
1.03,216.28
1.07,209.17
1.1,212.59
1.13,214.15
1.17,212.34
1.2,210.78
1.23,209.0
1.27,212.85
1.3,214.87
1.33,209.77
1.37,216.8
1.4,215.8
1.43,211.39
1.47,212.99
1.5,220.01
1.53,211.2
1.57,219.46
1.6,212.67
1.63,222.88
1.67,215.22
1.7,214.55
1.73,211.85
1.77,207.0
1.8,221.3
1.83,218.83
1.87,214.01
1.9,220.66
1.93,206.75
1.97,221.25
2.0,221.85
2.03,226.85
2.07,225.64
2.1,231.42
2.13,221.45
2.17,229.06
2.2,221.83
2.23,226.47
2.27,222.36
2.3,222.34
2.33,225.93
2.37,223.19
2.4,225.15
2.43,226.87
2.47,222.55
2.5,219.95
2.53,231.97
2.57,223.11
2.6,227.23
2.63,230.28
2.67,222.56
2.7,224.58
2.73,225.55
2.77,217.84
2.8,230.47
2.83,227.38
2.87,217.15
2.9,230.15
2.93,230.84
2.97,217.26
3.0,208.64
3.03,212.87
3.07,213.31
3.1,220.66
3.13,216.12
3.17,208.79
3.2,218.64
3.23,213.05
3.27,221.7
3.3,209.03
3.33,210.22
3.37,218.0
3.4,216.81
3.43,213.4
3.47,213.45
3.5,207.46
3.53,223.36
3.57,217.19
3.6,217.92
3.63,221.69
3.67,216.24
3.7,211.79
3.73,214.49
3.77,213.71
3.8,225.95
3.83,225.97
3.87,211.71
3.9,218.85
3.93,208.41
3.97,221.32
4.0,212.67
4.03,217.48
4.07,218.7
4.1,219.1
4.13,216.33
4.17,210.96
4.2,219.87
4.23,209.54
4.27,221.1
4.3,216.12
4.33,216.05
4.37,213.94
4.4,220.59
4.43,218.24
4.47,218.84
4.5,222.05
4.53,211.38
4.57,214.75
4.6,221.62
4.63,217.97
4.67,212.51
4.7,212.78
4.73,212.33
4.77,214.43
4.8,214.37
4.83,206.76
4.87,211.4
4.9,209.97
4.93,224.54
4.97,215.49
5.0,214.56
5.03,222.81
5.07,219.7
5.1,225.98
5.13,227.06
5.17,217.64
5.2,230.12
5.23,226.57
5.27,222.88
5.3,228.13
5.33,214.07
5.37,219.86
5.4,227.03
5.43,221.53
5.47,224.26
5.5,224.61
5.53,224.38
5.57,222.45
5.6,221.33
5.63,235.88
5.67,220.24
5.7,229.14
5.73,220.92
5.77,229.62
5.8,226.72
5.83,228.92
5.87,224.1
5.9,227.3
5.93,227.84
5.97,226.67
6.0,222.76
6.03,227.21
6.07,221.39
6.1,220.37
6.13,231.87
6.17,228.57
6.2,218.81
6.23,220.3
6.27,223.94
6.3,216.01
6.33,227.81
6.37,228.03
6.4,219.28
6.43,228.17
6.47,227.73
6.5,232.71
6.53,228.31
6.57,230.02
6.6,226.02
6.63,225.66
6.67,224.76
6.7,232.56
6.73,229.86
6.77,229.81
6.8,219.71
6.83,226.72
6.87,236.35
6.9,222.64
6.93,228.77
6.97,232.58
7.0,218.87
7.03,213.14
7.07,216.13
7.1,220.33
7.13,214.01
7.17,211.89
7.2,220.94
7.23,212.61
7.27,218.99
7.3,216.17
7.33,219.63
7.37,216.29
7.4,209.47
7.43,218.09
7.47,212.27
7.5,225.55
7.53,217.72
7.57,210.44
7.6,218.44
7.63,217.06
7.67,222.53
7.7,210.52
7.73,221.81
7.77,215.22
7.8,217.15
7.83,228.86
7.87,217.99
7.9,217.56
7.93,220.67
7.97,220.47
8.0,215.48
8.03,214.17
8.07,210.73
8.1,214.81
8.13,219.6
8.17,215.35
8.2,204.46
8.23,212.72
8.27,215.22
8.3,209.53
8.33,209.44
8.37,214.47
8.4,217.56
8.43,220.91
8.47,212.92
8.5,217.7
8.53,219.9
8.57,220.0
8.6,211.74
8.63,214.27
8.67,217.25
8.7,217.41
8.73,212.03
8.77,219.72
8.8,206.66
8.83,218.76
8.87,220.61
8.9,217.31
8.93,218.91
8.97,214.11
9.0,219.01
9.03,214.23
9.07,210.11
9.1,210.62
9.13,216.68
9.17,224.63
9.2,214.69
9.23,204.22
9.27,214.7
9.3,210.52
9.33,205.44
9.37,217.48
9.4,207.77
9.43,223.45
9.47,210.31
9.5,213.07
9.53,214.22
9.57,216.9
9.6,218.11
9.63,221.51
9.67,213.64
9.7,211.77
9.73,220.33
9.77,222.26
9.8,211.5
9.83,207.35
9.87,215.1
9.9,216.2
9.93,214.18
9.97,213.35
10.0,223.27
10.03,226.59
10.07,229.52
10.1,228.64
10.13,225.88
10.17,224.97
10.2,223.45
10.23,217.33
10.27,222.2
10.3,218.96
10.33,221.49
10.37,227.51
10.4,218.26
10.43,225.52
10.47,219.89
10.5,223.44
10.53,226.45
10.57,218.9
10.6,230.4
10.63,232.18
10.67,226.33
10.7,225.47
10.73,229.98
10.77,219.1
10.8,230.83
10.83,224.68
10.87,229.64
10.9,224.83
10.93,225.87
10.97,232.2
11.0,223.3
11.03,231.95
11.07,227.58
11.1,217.46
11.13,230.8
11.17,219.35
11.2,224.22
11.23,222.89
11.27,228.22
11.3,228.4
11.33,229.48
11.37,219.12
11.4,230.07
11.43,217.16
11.47,230.81
11.5,225.31
11.53,220.57
11.57,221.11
11.6,219.78
11.63,227.09
11.67,234.55
11.7,225.46
11.73,219.44
11.77,226.59
11.8,219.19
11.83,222.67
11.87,221.99
11.9,219.24
11.93,225.51
11.97,224.64
12.0,206.34
12.03,215.39
12.07,216.41
12.1,213.16
12.13,213.24
12.17,221.62
12.2,218.77
12.23,212.35
12.27,220.13
12.3,217.28
12.33,222.68
12.37,210.63
12.4,216.77
12.43,218.29
12.47,216.36
12.5,217.86
12.53,222.84
12.57,215.72
12.6,217.87
12.63,201.04
12.67,216.81
12.7,207.94
12.73,210.12
12.77,219.48
12.8,216.92
12.83,220.09
12.87,218.65
12.9,214.83
12.93,213.03
12.97,208.19
13.0,221.4
13.03,225.5
13.07,224.03
13.1,219.87
13.13,219.11
13.17,223.36
13.2,226.54
13.23,225.22
13.27,220.84
13.3,233.83
13.33,221.05
13.37,222.53
13.4,216.37
13.43,220.68
13.47,230.16
13.5,218.68
13.53,228.36
13.57,239.85
13.6,225.64
13.63,215.4
13.67,218.54
13.7,222.75
13.73,220.34
13.77,217.0
13.8,223.26
13.83,225.71
13.87,226.42
13.9,218.14
13.93,222.53
13.97,218.7
14.0,224.77
14.03,229.97
14.07,211.75
14.1,218.62
14.13,222.0
14.17,225.15
14.2,218.21
14.23,232.03
14.27,213.26
14.3,223.47
14.33,227.86
14.37,227.44
14.4,233.61
14.43,223.58
14.47,224.79
14.5,220.7
14.53,229.55
14.57,216.28
14.6,240.23
14.63,222.07
14.67,218.97
14.7,221.39
14.73,233.83
14.77,222.09
14.8,222.16
14.83,230.2
14.87,219.52
14.9,222.8
14.93,229.15
14.97,218.46
15.0,212.82
15.03,205.09
15.07,213.95
15.1,219.3
15.13,214.79
15.17,216.69
15.2,219.07
15.23,214.99
15.27,212.24
15.3,215.7
15.33,214.13
15.37,203.77
